video_id,dataset,scene,physics_label,wrong_type,filename,video_path,duration_sec,fps,width,height,seed,gravity,damping,initial_state,notes
single_pendulum_correct_001,simulated_pendulum,single_pendulum,correct,none,single_pendulum_correct_001.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_correct_001.mp4,4.0,32,512,512,1101,9.81,0.035,theta=0.7604;omega=-0.0978,procedural pendulum simulation rendered with OpenCV
single_pendulum_correct_002,simulated_pendulum,single_pendulum,correct,none,single_pendulum_correct_002.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_correct_002.mp4,4.0,32,512,512,1102,9.81,0.035,theta=0.6403;omega=-0.0707,procedural pendulum simulation rendered with OpenCV
single_pendulum_correct_003,simulated_pendulum,single_pendulum,correct,none,single_pendulum_correct_003.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_correct_003.mp4,4.0,32,512,512,1103,9.81,0.035,theta=-0.5268;omega=0.1652,procedural pendulum simulation rendered with OpenCV
single_pendulum_correct_004,simulated_pendulum,single_pendulum,correct,none,single_pendulum_correct_004.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_correct_004.mp4,4.0,32,512,512,1104,9.81,0.035,theta=-0.4716;omega=0.1737,procedural pendulum simulation rendered with OpenCV
single_pendulum_single_energy_gain_001,simulated_pendulum,single_pendulum,wrong,single_energy_gain,single_pendulum_single_energy_gain_001.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_single_energy_gain_001.mp4,4.0,32,512,512,1201,9.81,0.035,theta=-0.6053;omega=0.0840,procedural pendulum simulation rendered with OpenCV
single_pendulum_single_reverse_gravity_after_half_002,simulated_pendulum,single_pendulum,wrong,single_reverse_gravity_after_half,single_pendulum_single_reverse_gravity_after_half_002.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_single_reverse_gravity_after_half_002.mp4,4.0,32,512,512,1202,9.81,0.035,theta=0.4598;omega=-0.2560,procedural pendulum simulation rendered with OpenCV
single_pendulum_single_periodic_kick_003,simulated_pendulum,single_pendulum,wrong,single_periodic_kick,single_pendulum_single_periodic_kick_003.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_single_periodic_kick_003.mp4,4.0,32,512,512,1203,9.81,0.035,theta=-0.5953;omega=-7.0571,procedural pendulum simulation rendered with OpenCV
single_pendulum_single_energy_gain_004,simulated_pendulum,single_pendulum,wrong,single_energy_gain,single_pendulum_single_energy_gain_004.mp4,generated_videos/simulated_pendulum/single_pendulum/single_pendulum_single_energy_gain_004.mp4,4.0,32,512,512,1204,9.81,0.035,theta=0.6898;omega=-0.0737,procedural pendulum simulation rendered with OpenCV
double_pendulum_correct_001,simulated_pendulum,double_pendulum,correct,none,double_pendulum_correct_001.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_correct_001.mp4,4.0,32,512,512,2101,9.81,0.012,theta1=0.5915;theta2=1.1063;omega1=-0.1030;omega2=-0.2734,procedural pendulum simulation rendered with OpenCV
double_pendulum_correct_002,simulated_pendulum,double_pendulum,correct,none,double_pendulum_correct_002.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_correct_002.mp4,4.0,32,512,512,2102,9.81,0.012,theta1=0.6071;theta2=0.9808;omega1=-0.0875;omega2=-0.2235,procedural pendulum simulation rendered with OpenCV
double_pendulum_correct_003,simulated_pendulum,double_pendulum,correct,none,double_pendulum_correct_003.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_correct_003.mp4,4.0,32,512,512,2103,9.81,0.012,theta1=0.9234;theta2=0.4003;omega1=-0.3717;omega2=0.1573,procedural pendulum simulation rendered with OpenCV
double_pendulum_correct_004,simulated_pendulum,double_pendulum,correct,none,double_pendulum_correct_004.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_correct_004.mp4,4.0,32,512,512,2104,9.81,0.012,theta1=0.8128;theta2=1.3251;omega1=-0.1057;omega2=-0.2338,procedural pendulum simulation rendered with OpenCV
double_pendulum_double_energy_gain_001,simulated_pendulum,double_pendulum,wrong,double_energy_gain,double_pendulum_double_energy_gain_001.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_double_energy_gain_001.mp4,4.0,32,512,512,2201,9.81,0.012,theta1=0.8408;theta2=1.0852;omega1=-0.1925;omega2=-0.0813,procedural pendulum simulation rendered with OpenCV
double_pendulum_double_reverse_gravity_after_half_002,simulated_pendulum,double_pendulum,wrong,double_reverse_gravity_after_half,double_pendulum_double_reverse_gravity_after_half_002.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_double_reverse_gravity_after_half_002.mp4,4.0,32,512,512,2202,9.81,0.012,theta1=-0.8308;theta2=-1.0759;omega1=0.1706;omega2=0.1236,procedural pendulum simulation rendered with OpenCV
double_pendulum_double_joint_kick_003,simulated_pendulum,double_pendulum,wrong,double_joint_kick,double_pendulum_double_joint_kick_003.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_double_joint_kick_003.mp4,4.0,32,512,512,2203,9.81,0.012,theta1=-0.6728;theta2=-0.9766;omega1=-0.0047;omega2=-6.7566,procedural pendulum simulation rendered with OpenCV
double_pendulum_double_energy_gain_004,simulated_pendulum,double_pendulum,wrong,double_energy_gain,double_pendulum_double_energy_gain_004.mp4,generated_videos/simulated_pendulum/double_pendulum/double_pendulum_double_energy_gain_004.mp4,4.0,32,512,512,2204,9.81,0.012,theta1=-0.8660;theta2=-1.1693;omega1=0.2322;omega2=0.1222,procedural pendulum simulation rendered with OpenCV
